Report ID	Author	Publication Date	Title	Abstract [as written in original source- not edited for this systematic map]	Publication	Country	"LatDD,LonDD"	Production System/Sector	Commodity	Certification Standard	Population	Sampling Unit	Position in Supply Chain	Research Method	Expand on Mixed Methods and Other	Study Design	Social	Social	Economic	Environmental	Education	Poverty	Health and Safety	Nutrition	Gender	Wellbeing	Community Benefits and Development	Knowledge Exchange	Transparency	Management systems	Price Premium	Profitability 	Costs	Market Advantage	Yield	Good Production Practices (including good forest management)	Financial Security	Deforestation	Conservation and Biodiversity	Pollution	Soil Management	Water Management	Input Use	Post-harvest Practices
5463	"Perez-Ramirez M., Castrejon M., Gutierrez N.L.;  Defeo O"	2015	"The Marine Stewardship Council certification in Latin America and the Caribbean: A review of experiences, potentials and pitfalls"	"The Marine Stewardship Council (MSC) certification program is a market-based instrument aimed at recognizing sustainable fishing practices. Although there are 10 MSC-certified fisheries in Latin American and the Caribbean (LAC), this proportion is low (4%) compared to the total number of certified fisheries globally. Therefore, implementation of MSC certification in LAC fisheries is examined by considering: (1) fishing industry drivers for certification and (2) certified fisheries performance against the MSC standard. The MSC certification was suitable for large multi-national enterprises with export-oriented markets and for small-scale fisheries with exclusive access rights harvesting high-value resources. Maintaining or increasing market-share was a main motivation to pursue certification. Most LAC certified fisheries showed high performance in terms of stock status, governance and management systems. However, the expansion of the MSC certification in LAC remains limited by: (1) intrinsic weaknesses of fisheries in the region (shortage of information and instability in governance systems); and (2) high costs associated to certification and extrinsic market conditions (price shocks and demand retractions). Innovative strategies to encourage the development of domestic certified seafood markets, and a major inclusiveness of small-scale fisheries with traditional management arrangements at the local level, could constitute significant steps toward a more sustainable pathway on a regional scale. √•¬© 2015 Elsevier B.V."	Fisheries Research 182  50-58 DOI:10.1016/j.fishres.2015.11.007	Suriname	" 3.919300, -56.027800"	Fishing	Fish	Marine Stewardship Council (MSC)	Fisheries	Fisheries	Producer	Mixed methods	"MSC public certification reports, surveillance reports, external databases, scientific literature, personal communication with key informants (fishermen organisations representatives and fish industry managers)"	Pre-post	Data Reported	Data Reported	Data Reported	No Data Reported								Data Reported		Data Reported			Data Reported	Data Reported	Data Reported	Data Reported								
9500	"Pinto L.F.G., Goncalves E.T., Berkembrock D., Yamada M.; Sorice L."	2013	"Characteristics, potential and limitations of various types of socio-environmental certification for agroforestry systems"	"Socio-environmental certification is a voluntary market-based instrument, which aims to promote changes in productive sectors through economic incentives. Thus, it should be part of the policies and mechanisms that promote or encourage the maintenance and the adoption of agroforestry production systems in a systematic way in Brazil. This study aims to evaluate the role, opportunities and challenges of socio-environmental certification for agroforestry systems, through three case studies: Reca project; Fazendas Reunidas Vale do Juliana; and the socio-participatory certification of nikkei producers in Par√°, Brazil. It was observed that there are various socio-environmental certification systems applicable to agroforestry systems and with projects already implemented in Brazil, covering socio-participatory schemes and third-party ones. Each one offers benefits and limitations to their application. The upscaling of agroforestry certification requires that they are more applicable to this situation and more accessible to family farmers and communities. Also, they need the support of public policies and effective and long-term partnerships between producers and companies of the commodity chains that use products of agroforestry origin."	Citrus R&T  (e-ISSN 2236-3122)  http://citrusrt.centrodecitricultura.br DOI: 10.5935/2236-3122.20130002	Brazil	"-9.7965758,-68.7618477"	Agroforestry	Various	Various	Various		Producer			Comparison of case studies	No Data Reported	No Data Reported	Data Reported	No Data Reported																Data Reported								
G02	"Qiao, Yuhui; Halberg, Niels; Vaheesan, Saminathan; Scott, Steffanie"	2016	Assessing the social and economic benefits of organic and fair trade tea production for small-scale farmers in Asia: a comparative case study of China and Sri Lanka	"Organic agriculture has the potential to provide improved livelihood opportunities, increased income and social benefits for resource-poor small-scale farmers. It has thus become a popular strategy for economic development and poverty reduction in many areas of the global south. However, there has been limited empirical research regarding the actual benefits of certified organic production, particularly when organic is combined with fair trade certification, and for small-scale farmers who are not engaged in coffee or banana production. Further research is needed to demonstrate experiences of farmers under diverse socioeconomic conditions, organizational contexts and degrees of market access. To address these gaps, two surveys of certified organic and fair trade tea producers in China and Sri Lanka were undertaken to investigate the contributions of organic crops to the household economy. In both cases, organic production required lower investment in terms of external inputs but a higher input of farmersỲÄô labor. The price premium received by farmers for the organic tea compensated for the extra labor input and lower yield, resulting in a net profit. However, given the relatively small plots of tea gardens of each household, organic production could not fully provide for the householdsỲÄô livelihood. Non-farm income dominated the total income of the households across the study cases, despite the earnings from organic farming. In both sites, market-oriented organic tea projects have created more options for paid work locally, which benefits women of reproductive age. Social benefits of organic farming were also reported. Pursuing fair trade certification on top of organic production facilitated farmer organizing, training and community development. Organic agriculture and fair trade certification offer important prospects to improve the livelihoods of small-scale farmers in other, less favored areas of Asia. These forms of certified production could provide economic and social benefits in instances where farm income is the main source of household income."	Renewable Agriculture and Food Systems 31 3 246-257 DOI:10.1017/S1742170515000162	China	"29.25, 117.85 "	Tea	Tea	Organic; Fair Trade; Rainforest Alliance	Co-operatives; villages; independent enterprises	Farmers	Producer	Mixed methods	"Interviews, production data, focus groups, contextual data from co-ops, companies etc."	Matched	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported					Data Reported	Data Reported		Data Reported	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported		Data Reported				Data Reported	
G02	"Qiao, Yuhui; Halberg, Niels; Vaheesan, Saminathan; Scott, Steffanie"	2016	Assessing the social and economic benefits of organic and fair trade tea production for small-scale farmers in Asia: a comparative case study of China and Sri Lanka	"Organic agriculture has the potential to provide improved livelihood opportunities, increased income and social benefits for resource-poor small-scale farmers. It has thus become a popular strategy for economic development and poverty reduction in many areas of the global south. However, there has been limited empirical research regarding the actual benefits of certified organic production, particularly when organic is combined with fair trade certification, and for small-scale farmers who are not engaged in coffee or banana production. Further research is needed to demonstrate experiences of farmers under diverse socioeconomic conditions, organizational contexts and degrees of market access. To address these gaps, two surveys of certified organic and fair trade tea producers in China and Sri Lanka were undertaken to investigate the contributions of organic crops to the household economy. In both cases, organic production required lower investment in terms of external inputs but a higher input of farmersỲÄô labor. The price premium received by farmers for the organic tea compensated for the extra labor input and lower yield, resulting in a net profit. However, given the relatively small plots of tea gardens of each household, organic production could not fully provide for the householdsỲÄô livelihood. Non-farm income dominated the total income of the households across the study cases, despite the earnings from organic farming. In both sites, market-oriented organic tea projects have created more options for paid work locally, which benefits women of reproductive age. Social benefits of organic farming were also reported. Pursuing fair trade certification on top of organic production facilitated farmer organizing, training and community development. Organic agriculture and fair trade certification offer important prospects to improve the livelihoods of small-scale farmers in other, less favored areas of Asia. These forms of certified production could provide economic and social benefits in instances where farm income is the main source of household income."	Renewable Agriculture and Food Systems 31 3 246-257 DOI:10.1017/S1742170515000162	Sri Lanka	"29.25, 117.85 ; 7.333333, 80.75"	Tea	Tea	Organic; Fair Trade; Rainforest Alliance	Co-operatives; villages; independent enterprises	Farmers	Producer	Mixed methods	"Interviews, production data, focus groups, contextual data from co-ops, companies etc."	Matched	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported					Data Reported	Data Reported		Data Reported	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported		Data Reported				Data Reported	
3823	"Rijn, Fedes van; Judge, Lucas; Fort, Ricardo; Koster, Tinka; Waarts, Yuca; Ruben, Ruerd"	2016	Fairtrade certification in the banana hired labour sector	"Evidence is needed about the difference that certification makes to workers on banana plantations. The Fairtrade system is therefore investing in monitoring to understand the difference certification makes to banana workers' employment, living and working conditions, and empowerment. This study meets this need by gathering data on a range of indicators. This study (1) gathers baseline data on indicators and themes that monitor the progress of implementation of Fairtrade's revised hired labour standards on certified plantations in key banana origins; (2) based on this data it research and analyses the difference that Fairtrade makes across key themes in comparison to non-certified contexts; it prioritises workers' voices and perspectives in achieving the objectives of the study. It particularly focuses on understanding the role of Fairtrade in supporting worker empowerment and empowerment-related goals. Focus countries are Ghana, Colombia and the Dominican Republic."	LEI Report 2015 - 056. 46 pp. http://edepot.wur.nl/370490	Colombia	"4.570900, -74.297300 "	Fruit	Banana	Fair Trade; Rainforest Alliance	Pantations	Individual wageworkers	Producer	Mixed methods	"Field Experiments, Interviews (freeform), Household Surveys "	Matched	Data Reported	Data Reported	Data Reported	No Data Reported			Data Reported		Data Reported						Data Reported						Data Reported							
3823	"Rijn, Fedes van; Judge, Lucas; Fort, Ricardo; Koster, Tinka; Waarts, Yuca; Ruben, Ruerd"	2016	Fairtrade certification in the banana hired labour sector	"Evidence is needed about the difference that certification makes to workers on banana plantations. The Fairtrade system is therefore investing in monitoring to understand the difference certification makes to banana workers' employment, living and working conditions, and empowerment. This study meets this need by gathering data on a range of indicators. This study (1) gathers baseline data on indicators and themes that monitor the progress of implementation of Fairtrade's revised hired labour standards on certified plantations in key banana origins; (2) based on this data it research and analyses the difference that Fairtrade makes across key themes in comparison to non-certified contexts; it prioritises workers' voices and perspectives in achieving the objectives of the study. It particularly focuses on understanding the role of Fairtrade in supporting worker empowerment and empowerment-related goals. Focus countries are Ghana, Colombia and the Dominican Republic."	LEI Report 2015 - 056. 46 pp. http://edepot.wur.nl/370490	Dominican Republic	"18.735700, -70.162700 "	Fruit	Banana	Fair Trade; Rainforest Alliance	Pantations	Individual wageworkers	Producer	Mixed methods	"Field Experiments, Interviews (freeform), Household Surveys "	Matched	Data Reported	Data Reported	Data Reported	No Data Reported			Data Reported		Data Reported						Data Reported						Data Reported							
3823	"Rijn, Fedes van; Judge, Lucas; Fort, Ricardo; Koster, Tinka; Waarts, Yuca; Ruben, Ruerd"	2016	Fairtrade certification in the banana hired labour sector	"Evidence is needed about the difference that certification makes to workers on banana plantations. The Fairtrade system is therefore investing in monitoring to understand the difference certification makes to banana workers' employment, living and working conditions, and empowerment. This study meets this need by gathering data on a range of indicators. This study (1) gathers baseline data on indicators and themes that monitor the progress of implementation of Fairtrade's revised hired labour standards on certified plantations in key banana origins; (2) based on this data it research and analyses the difference that Fairtrade makes across key themes in comparison to non-certified contexts; it prioritises workers' voices and perspectives in achieving the objectives of the study. It particularly focuses on understanding the role of Fairtrade in supporting worker empowerment and empowerment-related goals. Focus countries are Ghana, Colombia and the Dominican Republic."	LEI Report 2015 - 056. 46 pp. http://edepot.wur.nl/370490	Ghana	"7.946500, -1.023200"	Fruit	Banana	Fair Trade; Rainforest Alliance	Pantations	Individual wageworkers	Producer	Mixed methods	"Field Experiments, Interviews (freeform), Household Surveys "	Matched	Data Reported	Data Reported	Data Reported	No Data Reported			Data Reported		Data Reported						Data Reported						Data Reported							
G05	"Ruben, Ruerd; Fort, Ricardo"	2012	The Impact of Fair Trade Certification for Coffee Farmers in Peru	"Smallholder farmers producing for Fair Trade market outlets are usually considered to benefit from better prices and stable market outlets. However, many empirical studies verifying this impact suffer from strong selection bias. This study uses a balanced sample of Fair Trade farmers and likewise nonFair Trade producers of organic and conventional coffee from Peru to compare the net effects on production, income and expenditures, wealth and investments, and attitudes and perceptions. After careful matching, we find only modest direct income and production effects, but significant changes in organization, input use, wealth and assets, and risk attitudes. Moreover, important differences between farmers with early and more recent FT affiliation are registered."	World Development 40 3 570-582 DOI:10.1016/j.worlddev.2011.07.030	Peru	"-10.94, -75.40"	Coffee	Coffee	Fair Trade; Rainforest Alliance	Farmers	Co-operatives	Producer	Household surveys	N/A	Matched	Data Reported	Data Reported	Data Reported	Data Reported					Data Reported	Data Reported	Data Reported	Data Reported		Data Reported	Data Reported	Data Reported					Data Reported						Data Reported	
G12	"Ruben, Ruerd; Zuniga, Guillermo"	2011	How standards compete: comparative impact of coffee certification schemes in Northern Nicaragua	"Smallholder farmers are increasingly subject to different types of standards that offer specific conditions for their market incorporation. The proliferation of private and voluntary (civic) standards raises questions regarding their impact on farmers' welfare and their role in the upgrading of value chains. This paper aims to address this issue. Based on extensive fieldwork and careful matching of 315 farmers in Northern Nicaragua who produce coffee under Fair Trade, Rainforest Alliance and Caf√© Practices labels or deliver to independent traders, the effects on income, production and investments are compared. Moreover, the implications of different contract conditions for risk behaviour, organizational force, loyalty and gender attitudes are assessed. The paper finds that Fair Trade provides better prices compared with independent producers, but private labels outỲÄêcompete Fair Trade in terms of yield and quality performance. While Fair Trade can be helpful to support initial market incorporation, private labels offer more suitable incentives for quality upgrading. Civic standards exhibit major effects on local institutions' and farmers' behaviour, while B2B standards are more effective for improving production and management practices. Dynamic improvement standards may bridge the gap between both. Fair Trade standards are useful to provide initial market access to smallỲÄêholders, but private standards offer better prospects for subsequent quality upgrading.This is the first largeỲÄêscale comparative impact assessment of coffee standards that delivers unbiased empirical results."	Supply Chain Management: An International Journal 16 2 98_109 	Nicaragua	"13.789400, -86.012200"	Coffee	Coffee	Fair Trade; Rainforest Alliance; Rainforest Alliance; Cafe practices	Smallholders	Smallholders	Producer	Household surveys	N/A	Matched	Data Reported	Data Reported	Data Reported	No Data Reported	Data Reported				Data Reported		Data Reported			Data Reported		Data Reported	Data Reported		Data Reported	Data Reported	Data Reported							
G11-2032	"Rueda, X.; Lambin, E. F."	2013	Responding to globalization: impacts of certification on Colombian small-scale coffee growers	"Eco-certification of food and other agricultural products has been promoted as a way of making markets work for sustainability. Certification programs offer a price premium to producers who invest in more sustainable practices. The literature on the impacts of certification has focused primarily on the economic benefits farmers perceive from participating in these schemes. These benefits, however, are often subject to price variability, offering only a partial explanation of why farmers join and stay in certification programs. We evaluated the potential of the Rainforest Alliance certification program to foster more resilient social-ecological systems in the face of globalization. Using the case of Santander, Colombia, and a pair-based comparison of 86 households to effectively produce a robust counterfactual, we showed that certification provides important environmental benefits, while improving the well-being of farmers and their communities. Furthermore, the study showed that price premiums are only one of many elements defining the success of certification, particularly important for motivating farmers to join, but less so to explain retention and upgrading. The case of Colombian coffee growers illustrates how the connections between local social-ecological systems and larger global forces can produce more sustainable livelihoods and land uses."	Ecology and Society 18  Art-21 	Colombia	"6.64, -73.65"	Coffee	Coffee	Rainforest Alliance	Smallholders	Smallholders	Producer	Mixed methods	Interviews with key informants and household surveys	Matched	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported				Data Reported	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported			Data Reported	Data Reported	Data Reported	Data Reported	Data Reported	Data Reported		Data Reported	Data Reported	Data Reported	Data Reported
G14-2344	"Rueda, X.; Thomas, N. E.; Lambin, E. F."	2014	Eco-certification and coffee cultivation enhance tree cover and forest connectivity in the Colombian coffee landscapes	"Eco-certification of agricultural commodities offers an appealing option to promote more sustainable practices among smallholders, increase agricultural value, and lift farmers out of poverty through better market access. This study evaluates whether coffee cultivation is associated with changes in forest cover and forest fragmentation and whether the Rainforest Alliance eco-certification program has led to enhanced tree cover and greater landscape connectivity in the Colombian eastern Andes. Based on satellite imagery, geo-referenced coffee parcels and a pair_case comparison, we show that coffee-growing regions have larger areas in forest, larger forest patches, and better connectivity among patches than non-coffee areas. These differences, however, do not seem to be accentuated over time, except for dense forest cover in the coffee-growing region. The latter has increased since the introduction of a certification program that requires protection of forest remnants and riparian vegetation. Moreover, certified farms in the study area have increased the amount of tree cover on their plots significantly more than non-certified ones. Our study design, therefore, detects additionality in the impact of certification on tree cover increase: in a region with overall increase in tree cover, certified farms contributed significantly more to that trend than non-certified farms. This study presents the first evaluation of the impacts of certification in cultivated landscapes at the ecosystem level, detectable by Earth observation satellites. √•¬© 2014, Springer-Verlag Berlin Heidelberg."	Regional Environmental Change 15  25-33 DOI:10.1007/s10113-014-0607-y	Colombia	"6.64, -73.65"	Coffee	Coffee	Rainforest Alliance	Smallholders	Forest area	Producer	Mapping Data	Landsat TM and ETM+	Matched	No Data Reported	No Data Reported	No Data Reported	No Data Reported																								
10219	"Saswattecha, K.; Kroeze, C.; Jawjit, W.; Hein, L."	2015	Assessing the environmental impact of palm oil produced in Thailand	"There are several concerns related to the increasing production of palm oil in Southeast Asia, including pollution, greenhouse gas emissions and land conversion. The RSPO (Roundtable on Sustainable Palm Oil) certification standard provides an incentive for reducing environmental impacts of palm oil production but to date, only few producers have been certified and studies on environmental implications of RSPO certification in Thailand are scarce. The objective of this study is to assess environmental impacts of palm oil production in Thailand. A case study is conducted in the Tapi River basin, accounting for 60% of palm oil production in Thailand. We developed a model to quantify effects of different management practices in plantations and mills producing Crude-Palm-Oil (CPO) - including non-RSPO, potential RSPO, and RSPO certified producers. Our study shows that five activities contribute most to environmental impacts of CPO production; 1) burning fibers in boilers,2) use of fertilizers, 3) wastewater treatment and empty-fruit-bunch disposal, 4) gasoline use in weed cutters and 5) glyphosate use for weed control. Together these activities cause environmental impacts associated with global warming, ozone formation, acidification, and human toxicity problems. RSPO certified producers cause the lowest environmental impacts due to better waste management such as biogas production from wastewater. We found that environmental performance of the most environmental friendly mills considerably exceeds the RSPO standards, which may be related to the interventions of an environmental project in the Tapi basin. Currently, only 11% of CPO in the Tapi River basin is produced by RSPO certified mills, and non-CPO certified mills produce around 60% of CPO. Most of environmental impacts of palm oil production in the basin are therefore caused by non-RSPO certified palm oil mills. We explored two alternative scenarios illustrating that if more mills in the basin would adopt best-practice CPO production processes in line with those group named ""RSPO certified"", environmental impacts generated in the basin will be considerably lower. √•¬© 2015 Elsevier Ltd. All rights reserved."	Journal of Cleaner Production 100  150-169 DOI:10.1016/j.jclepro.2015.03.037	Thailand	"9.133900, 99.326700"	Palm Oil	Palm oil	Roundtable on Sustainable Palm Oil (RSPO)	Smallholders; Co-operatives; Farms	Smallholders; Co-operatives; Farms	Producer; Processor 	Mixed methods	"Lit review, farmer interviews and mill visits"	Matched	No Data Reported	No Data Reported	No Data Reported	Data Reported																				Data Reported			Data Reported	
3562	"Satoshi, Nakamura; Takahiro, Tsuge; Satoru, Okubo; Kazuhiko, Takeuchi; Nisikawa, Usio"	2014	"Exploring Factors Affecting Farmers' Implementation of Wildlife-Friendly Farming on Sado Island, Japan"	"Implementing wildlife-friendly farming (WFF) practices is a sound approach to sustain ecological restoration of farmland. The aims of the study were to explore factors affecting farmers' implementation of WFF practices on Sado Island, Japan and to consider the policy implications of disseminating such practices. All 5010 farming households on Sado Island, who are distributing rice to Japan Agricultural Cooperatives (JA), were surveyed. In total, 2231 households responded to the questionnaire (response 44.5%). By comparing the attitudes, beliefs, and attributes of non-certified versus certified farmers, we identified key factors affecting farmers' implementation of WFF practices. Compared with non-certified farmers, certified farmers: (i) showed a greater interest in biodiversity and the financial benefits of WFF; (ii) had a larger number of certified farmer friends; (iii) felt many more pressures and expectations from consumers, in particular; and (iv) were not hampered by bad labor or farmland conditions when implementing WFF practices. To further disseminate WFF practices in Sado, we suggest that the information on the effectiveness of WFF on paddy field biodiversity is used in public education, and opportunities for interchanging opinions are set up between non-certified and certified farmers, as well as between farmers and consumers."	Journal of Resources and Ecology 5 4 370-380 DOI:10.5814/j.issn.1674-764x.2014.04.013	Japan	"38.018400, 138.368100"	Rice	Rice	Toki Brand Rice Certification Initiative	Co-operatives; Farms; houesholds	Households	Producer	Online surveys ; Questionnaire	N/A	Matched	Data Reported	Data Reported	No Data Reported	No Data Reported								Data Reported																
3498	"Selden, R. L.; Valencia, S. R.; Larsen, A. E.; Cornejo-Donoso, J.; Wasserman, A. A."	2016	Evaluating seafood eco-labeling as a mechanism to reduce collateral impacts of fisheries in an ecosystem-based fisheries management context	"By considering not only target species catch but also bycatch of non-target species and habitat damage, ecosystem-based fisheries management (EBFM) has the potential to minimize the environmental impact of fisheries. Defining and benchmarking EBFM strategies for these incidental environmental impacts has been challenging, and this lack of consensus has, in part, resulted in a proliferation of eco-labeling schemes with variable and vague criteria for environmental targets. The performance of fisheries certified by the Marine Stewardship Council (MSC), the most prominent eco-labeling certifier, was compared to non-certified fisheries and evaluated against target reference points for a suite of metrics derived from the EBFM literature. Specifically we compared marine mammal bycatch, finfish discard rates, and gear impacts between MSC-certified fisheries and non-certified fisheries. Discards of non-target finfish and bycatch rates of marine mammals were no different between certified and non-certified U.S. fisheries. Observer coverage was no higher in certified fisheries, and many fisheries failed to meet the coverage level thought adequate to document bycatch of protected species. MSC-certified fisheries did have lower average gear destructiveness scores than non-certified stocks when weighted by landings but not when weighted by the number of fisheries. Our analysis indicates that MSC-certified fisheries perform better on some ecosystem-based sustainability metrics but are indistinguishable from non-certified stocks on others, and improvement is needed for all certified fisheries to meet quantitative goals for the collateral impacts of fishing. √•¬© 2015 Elsevier Ltd."	Marine Policy 64  102-115 DOI:10.1016/j.marpol.2015.11.010	USA	"38.9072,-77.0369"	Fishing	Fish	Marine Stewardship Council (MSC)	Fisheries	Fisheries	Producer	Government data	National reports and fisheries data	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported																Data Reported								
10896	"Seol, M.H.,  Chun, J. N."	2009	"Incorporated Model to Improve Profits of Forest Communities and Non-Governmental Organizations with Application of Forest Certification: Case Study of KOSTAJASA, Central Java, Indonesia"	"This case study is written to propose a practical business model for forest communities inAsia and Non-Governmental Organizations (NGOs) who are supporting them. Forest communities inAsia have not been able to negotiate a fair price for selling their products because they are usually preventedto find a proper deal by scattered distribution of forest production origins and lack of marketinginformation which can be caused by remote distance from markets. On the other side, most environmentalNGOs have experienced to secure their fund to support forest communities and sustain themselves.In addition, although it is very crucial to ensure a minimum fund for their ethical activities, pursuingprofits, no matter what the reason is, makes them who work in the philanthropic field feel guilty. Weexpect this case study of KOSTAJASA, which is synthesized from a series of audits conducted byRainforest Alliance SmartWood audit team at Central Java, Indonesia, between October 26 andNovember 3, 2008, can contribute forest communities in Asia and environmental NGOs to find a profitablebusiness model for advancing forest peopleỲÄôs life, suggesting an example of environmental marketingto NGOs, and eventually supporting the environment on the earth."	The Journal of the Korean Society of International Agriculture.  http://db.koreascholar.com/article.aspx?code=284622	Indonesia	"0.7893, 113.9213"	Forest sector	Timber	Rainforest Alliance	Farmers and Companies	Farmers and companies	Producer; Processor	Interviews (freeform)		Pre-Post	Data Reported	No Data Reported	Data Reported	No Data Reported											Data Reported		Data Reported		Data Reported									
5987	"Shreck, A."	2002	Just bananas? Fair Trade banana production in the Dominican Republic	"In an effort to alter exploitative relations that characterize the conventional agro-food system, Fair Trade organizations are promoting an alternative system of certification and labeling for commodities such as coffee, cacao, and bananas that are grown under healthy social and environmental conditions. Labels then identify these products to conscientious consumers who are willing to pay more for them with the expectation that higher prices will deliver additional returns to producers. Yet, do these initiatives offer a real alternative and can they foster positive social change in the agro-food system? Drawing on fieldwork in the Dominican Republic, this paper addresses the implications of Fair Trade at the level of production. I focus on a case study of a certified banana producer group to suggest that production for the Fair Trade market can provide much needed material benefits, strengthen the producers' organization, and open up critical market access to Fair Trade partners. However, I also discuss important limits to the broader potential of Fair Trade initiatives for transforming trade relations. Fair Trade should not be ignored as an alternative mode of production or trade but, rather, a better understanding of how they are experienced by producers can help address the limits of the initiatives."	International Journal of Sociology of Agriculture and Food 10  13-23 	Dominican Republic 	"18.7356, -70.1626"	Fruit	Banana	Fair Trade; Rainforest Alliance	Smallholders	Smallholders	Producer	Interviews (freeform)	N/A	Pre-post	Data Reported	Data Reported	Data Reported	No Data Reported							Data Reported				Data Reported													
1364	"Smith Dumont, E.; Gnahoua, G. M.; Ohouo, L.; Sinclair, F. L.; Vaast, P."	2014	Farmers in Cote d'Ivoire value integrating tree diversity in cocoa for the provision of ecosystem services	"Côte d’Ivoire produces 40 % of the world supply of cocoa but much of the plantation area is aging and declining in productivity, while opportunities for land expansion into new forest land are quickly disappearing. Rejuvenation strategies for cocoa presently coalesce either around improved varieties and greater use of agro-chemical inputs in full sun systems or eco-certification that requires trees to be integrated with cocoa. Here, we explore the possibility of uniting these approaches through building on current farmer practice of incorporating trees in their cocoa fields to improve cocoa productivity and diversify their livelihoods. We interviewed 355 farmers about trees integrated in their cocoa fields across four locations in the South-West of Côte d’Ivoire in 2012, stratified by whether or not farmers were eco-certified. Despite the massive deforestation, a rich diversity of trees was found in cocoa fields and an overwhelming majority of farmers (95 %) wanted more trees and/or more tree species, regardless of their certification status or ethnic origin. There was a consensus that most trees were compatible with cocoa, but farmers also traded off negative impacts of some species against their productive contribution to their livelihood. Farmers valued tree diversity on their cocoa plots and provided detailed information on how 32 tree species interacted with cocoa in terms of soil moisture retention, soil fertility improvement and pest and disease interactions but also had key gaps in knowledge about alternative hosts of mirids and mistletoe. The majority of farmers were not aware of the certification requirements for tree species and shade cover but a much higher proportion of certified farmers (76 %) had received information about shade trees than non-certified farmers (15 %), although advice only related to eight tree species. Scope for building on local knowledge and practice to sustainably increase cocoa productivity through promoting tree diversity while enhancing other ecosystem service provision was identified and the next steps required to realize this set out. © 2014, The Author(s)."	Agroforestry Systems 88  1047-1066 DOI:10.1007/s10457-014-9679-4	Cote d'Ivoire	"5.356800, -6.749400"	Cocoa	Cocoa	Rainforest Alliance; UTZ 	Farmers	Farmers	Producer	Household surveys	Structured and open ended questions and household data	Matched	Data Reported	Data Reported	No Data Reported	Data Reported								Data Reported											Data Reported					
12427	"Smith, J."	2007	The search for sustainable markets: the promise and failures of fair trade.	"Fair trade promises to transform small-scale coffee farming by ensuring a fair price to producers, improving market access for small producers, and creating closer ties between producers and consumers. However, as the fair-trade market has grown from a small social movement to a substantial niche market, the relationships between producers and consumers have become less personal and the market more demanding of producers. By examining the experience of COOPABUENA, a coffee cooperative in southern Costa Rica, the ways in which these changes have discouraged producers can be seen. Here, fair trade has never become more than a small outlet for higher-priced coffee, whereas other alternate markets and institutions play the role of increasing small-producer incomes, helping to develop sustainable agricultural systems, and building links between Costa Rican producers and U.S. customers. For at least some producers, fair trade has failed to carry out its promise. "	Culture & Agriculture 29 (2):89-99. Special issue: Rethinking free trade/fair trade. http://dx.doi.org/10.1525/cag.2007.29.2.89	Costa Rica	"9.7489, -83.7534"	Coffee	Coffee	Fair Trade	Cooperative	Smallscale farmers	Producer	Interviews (freeform)		Pre-Post 	Data Reported	Data Reported	Data Reported	No Data Reported	Data Reported					Data Reported				Data Reported			Data Reported											
9764	"Souza A.P.O., de Oliveira Sans E.C., Mueller B.R. & Molento C.F.M"	2015	Broiler chicken welfare assessment in GLOBALGAP (R) certified and non-certified farms in Brazil	"Regarding broilers, Brazil is the third largest producer and the leading chicken meat exporter in the world. Independent certifications are required by some importers in the European Union (EU) to guarantee compliance with minimum welfare requirements. Our objective was to compare broiler chicken welfare in GLOBALGAP (R) certified (C) and non-certified (N) intensive farms in the State of Parana, Brazil, using the Welfare Quality (R) protocol. Ten farms in each group were evaluated and data were transformed using scores that ranged from 0 to 100, where 100 is the best condition. Results suggested that farms adhered to minimum welfare standards, regardless of certification and that the adoption of standards based on overseas rules may have limitations for the improvement of animal welfare. In order to further improve broiler welfare in Brazil, more rigorous standards should be developed."	Animal Welfare 24 1 45-54 DOI:10.7120/09627286.24.1.045	Brazil	"-25.296972, -54.094917"	Livestock	Chicken	GLOBALG.A.P	Co-operatives; Farms	Farms	Producer	Mixed methods	"Field experiments, Surveys, "	Matched	No Data Reported	No Data Reported	Data Reported	No Data Reported																Data Reported								
