ID	Reference Type	Year	Author	Title	Journal Title	ISBN/ISSN	DOI	URL	Abstract	Volume	Issue	Pages	Keywords	Country	LatDD	LonDD	Rural/Urban/Peri-Urban	Sample Size (n)	Is the Study about Cooking Sector?	Program Focus	Start Date of Intervention/Program	Study Start Date	Study Duration (Years)	Years Since Intervention (Sustainability Measure)	Synthesis Paper	Missing Data	"If Yes, Is There Accountability?"	Is Secondary Data Used?	Independently Measured Outcomes	Measured Outcomes - Social	Measured Outcomes - Economic	Measured Outcomes - Environmental	Drivers/Barriers Data Present?	Characteristics of Setting - Drivers	Characteristics of Setting - Barriers	"Knowledge and Perception, Information - Drivers"	"Knowledge and Perception, Information - Barriers"	Technology Characteristics - Drivers	Technology Characteristics - Barriers	"Financial, Tax and Subsidy Aspects - Drivers"	"Financial, Tax and Subsidy Aspects - Barriers"	"Regulation, Legislation and Standards - Drivers"	"Regulation, Legislation and Standards - Barriers"	Market Development - Drivers	Market Development - Barriers	Programmatic and Policy Mechanisms - Drivers	Programmatic and Policy Mechanisms - Barriers	Other - Drivers	Other - Barriers	Poverty - Drivers	Poverty - Barriers	Gender - Drivers	Gender - Barriers
25.3	Journal Article	2014	"Wiersma, B.; Devine-Wright, P."	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	Contemporary Social Science	21582041 (ISSN)	10.1080/21582041.2014.981757	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. √´¬© 2014, √´¬© 2014 Academy of Social Sciences."	9	4	456-470	community energy; comparative case study analysis; decentralised energy; drivers and influencers; low carbon transition; urban energy	UK	51.58	-3	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
25.4	Journal Article	2014	"Wiersma, B.; Devine-Wright, P."	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	Contemporary Social Science	21582041 (ISSN)	10.1080/21582041.2014.981757	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. √´¬© 2014, √´¬© 2014 Academy of Social Sciences."	9	4	456-470	community energy; comparative case study analysis; decentralised energy; drivers and influencers; low carbon transition; urban energy	UK	51.5	0	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
25.5	Journal Article	2014	"Wiersma, B.; Devine-Wright, P."	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	Contemporary Social Science	21582041 (ISSN)	10.1080/21582041.2014.981757	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. √´¬© 2014, √´¬© 2014 Academy of Social Sciences."	9	4	456-470	community energy; comparative case study analysis; decentralised energy; drivers and influencers; low carbon transition; urban energy	UK	51.5	0	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
25.6	Journal Article	2014	"Wiersma, B.; Devine-Wright, P."	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	Contemporary Social Science	21582041 (ISSN)	10.1080/21582041.2014.981757	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. √´¬© 2014, √´¬© 2014 Academy of Social Sciences."	9	4	456-470	community energy; comparative case study analysis; decentralised energy; drivers and influencers; low carbon transition; urban energy	UK	51.4	-0.19	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
25.7	Journal Article	2014	"Wiersma, B.; Devine-Wright, P."	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	Contemporary Social Science	21582041 (ISSN)	10.1080/21582041.2014.981757	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. √´¬© 2014, √´¬© 2014 Academy of Social Sciences."	9	4	456-470	community energy; comparative case study analysis; decentralised energy; drivers and influencers; low carbon transition; urban energy	UK	51.5	0	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
25.8	Journal Article	2014	"Wiersma, B.; Devine-Wright, P."	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	Contemporary Social Science	21582041 (ISSN)	10.1080/21582041.2014.981757	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. √´¬© 2014, √´¬© 2014 Academy of Social Sciences."	9	4	456-470	community energy; comparative case study analysis; decentralised energy; drivers and influencers; low carbon transition; urban energy	UK	55.94	-3.18	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
25.9	Journal Article	2014	"Wiersma, B.; Devine-Wright, P."	"Decentralising energy: comparing the drivers and influencers of projects led by public, private, community and third sector actors"	Contemporary Social Science	21582041 (ISSN)	10.1080/21582041.2014.981757	https://www.scopus.com/inward/record.uri?eid=2-s2.0-84919662644&doi=10.1080%2f21582041.2014.981757&partnerID=40&md5=f004d05c51378ab88cb7102d58b8e2d1; https://www.tandfonline.com/doi/full/10.1080/21582041.2014.981757	"The potential contribution of decentralised energy (DE) to the low carbon transition has received increasing policy and scholarly attention. However, a predominant emphasis upon community-led initiatives has overlooked the potential of alternative configurations, in particular projects led by public, private and professional third sector actors. To address this gap, a comparative case study analysis was undertaken based upon in-depth interviews with key actors in nine UK DE projects, scrutinising cross-sectoral patterns in underlying project drivers and factors influencing project evolution. Findings indicate that drivers are highly diverse, vary by sector and are predominantly local, with addressing poverty predominant. Key influencers identified were funding, levels of trust and stakeholder representations of energy users. The results indicate that policy and academic emphases on community-led DE overlook other successful and diverse configurations that can contribute to the low carbon transition. √´¬© 2014, √´¬© 2014 Academy of Social Sciences."	9	4	456-470	community energy; comparative case study analysis; decentralised energy; drivers and influencers; low carbon transition; urban energy	UK	51.5	0	Not Reported	0	N	Energy - Other					N				NR 				Neither																				
31	Journal Article	2019	"Wang, Z.; Li, C.; Cui, C.; Liu, H.; Cai, B. F."	Cleaner heating choices in northern rural China: Household factors and the dual substitution policy	Journal of Environmental Management	0301-4797	10.1016/j.jenvman.2019.109433	https://www.sciencedirect.com/science/article/pii/S030147971931151X?via%3Dihub	"Household heating is a major contributor to frequent winter haze in northern China. Transition to cleaner household heating is associated with multiple benefits including improved environmental conditions and health of local residents. This study presents an analysis of data from an indoor survey covering 1030 households in 136 villages of Hebi City in the winter of 2018. The main purpose of this study was to reveal the key factors that affect cleaner heating choices under the national pilot program of the dual substitution policy, which targets the replacement of coal heating with gas and electric heating. The survey showed that electric heating is the most popular heating method, and the adoption of cleaner heating rises with income, and energy and device costs may be the major barriers to adopting cleaner heating. Further, multinomial logit regression was used to investigate the household factors and found that income, heating area, energy cost, and education had significant impacts on heating choices. In addition, the gas substitution policy was more effective in promoting the cleaner heating transition than was the electric substitution policy. Results show that more freedom to choose energies and devices, as well as infrastructure for gas supply and centralized heating, is also vital for the adoption of cleaner heating. Our study provides new insights to improve the details of implementation of the dual substitution policy."	249			Cleaner heating; Dual substitution policy; Environmental governance; ENERGY-CONSUMPTION; AIR-POLLUTION; SUSTAINED EXPOSURE; EMPIRICAL-EVIDENCE; LIFE EXPECTANCY; COOKING; DETERMINANTS; PATTERNS; IMPACT; TECHNOLOGY	China	35.74	114.3	Rural	1030	N	Energy - Fuel Transition	2018	2018	1	NR	N	NR		N	NR 				Neither																				
40	Journal Article	2015	"Vietor, B.; Hoppe, T.; Clancy, J."	Decentralised combined heat and power in the German Ruhr Valley; assessment of factors blocking uptake and integration	Energy Sustainability and Society	2192-0567	10.1186/s13705-015-0033-0	https://energsustainsoc.biomedcentral.com/track/pdf/10.1186/s13705-015-0033-0	"Background: In Germany, the energy system is undergoing reorganisation from a centralised system based on fossil fuels and nuclear power to a sustainable system based on decentralised production and consumption of energy, the so-called Energiewende. Recently, there has been more attention to improving energy efficiency in those regions where conventional energy production activities and energy-intensive industries are located, such as the Ruhr area. Although the potential for decentralised combined heat and power (CHP) units is high in this region, local action plans show only modest developments for this technology. In this paper, we address this issue by answering the following research question: Which factors block the uptake and integration of decentralised CHP in the German Ruhr area's energy system? Methods: The multilevel perspective (MLP) was used to analyse the state of system innovation in relation to the uptake and integration of decentralised CHP technology. Prior to the MLP analysis, a stakeholders' analysis was conducted to identify stakeholders' views, positions and experienced barriers regarding the uptake and integration of decentralised CHP technology. Data collection included review of text documents and conducting 11 interviews. Results: Due to many regime barriers blocking niche development, the uptake of decentralised CHP technology is limited. Identified barriers relate to lack of market services and mismatches with user preferences, (sectoral) policies and industrial interests. Conclusions: Observed barriers relate to (i) lack of market services such as financial means for making investments; (ii) user awareness such as unawareness and information deficit regarding the benefits of decentralised CHP to potential users, (iii) the presence of centralised district heating systems, (iv) policy issues such as lack of sufficient policies supporting diffusion of decentralised CHP units, legal stipulations from social housing policies that prevent housing cooperatives from becoming energy producers and district heating systems owned by public and private owners (via concessions contracts); (v) sector issues such as lack of skilled service-providing companies; and (vi) industrial interested such as the vested interests of the coal and gas industry. Moreover, many of the mentioned barriers seem interrelated, especially those concerning policy and finance available for making upfront investments."	5	1		Energy transition; Decentralised CHP; Energy efficiency; Multilevel; perspective; ANALYTICAL FRAMEWORK; RENEWABLE ENERGY; SUSTAINABILITY; TRANSITIONS; INNOVATION; SYSTEMS; INITIATIVES; NETHERLANDS; PERSPECTIVE; PERFORMANCE	Germany	51.48	7.52	Urban	0	N	Energy - Other					N				NR 				Neither																				
45	Journal Article	2017	"Vassileva, L.; Campillo, J."	Adoption barriers for electric vehicles: Experiences from early adopters in Sweden	Energy	0360-5442	10.1016/j.energy.2016.11.119	https://www.sciencedirect.com/science/article/abs/pii/S0360544216317741?via%3Dihub	"Electric vehicles are considered as one of the most effective technologies for reducing current greenhouse gas emissions from the transport sector. Although in many countries, local and national governments have introduced incentives and subsidies to facilitate the electric vehicle market penetration, in Sweden, such benefits have been limited. Results from a survey carried out among private owners of electric vehicles are presented in this paper, including the analysis of the respondents socio-demographic characteristics, reasons for choosing an electric vehicle, charging locations and driving preferences, among others. The main results characterize current electric vehicle drivers as male, well-educated, with medium-high income; electric vehicles are used mainly for private purposes and charged at home during night time. Furthermore, the paper presents an analysis of the impact of large-scale penetration of electric vehicles on existing power distribution systems. The findings presented in this paper provide important insights for assuring a sustainable large-scale penetration of electric vehicles by learning from the experiences of early adopters of the technology and by analyzing the impact of different EV penetration scenarios on the power distribution grid. (C) 2016 Elsevier Ltd. All rights reserved."	120		632-641	Electric vehicle; Consumer behavior; Market uptake; Smart grid; Distributed energy resources; CONSUMER ATTITUDES; ENERGY; POWER; MANAGEMENT; SUPPORT; POLICY; LOAD	Sweden	59.329219	18.067878	Urban Peri-Urban and Rural	247	N	Energy - Other					N				NR 				Neither																				
